open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,ma20,bb_mid,bb_upper,bb_lower,long_signal,short_signal
1758326400000,115569.6,116059.2,115343.0,115624.9,32355.678,1758412799999,3744545955.47960,731518,14781.099,1710724205.75910,0,2025-09-20 00:00:00+00:00,113554.53,102329.0709090909,127387.6415181681,77270.5003000137,False,False
1758412800000,115625.0,115778.0,115137.6,115183.9,32793.431,1758499199999,3786613657.95650,825048,16745.946,1933772183.04190,0,2025-09-21 00:00:00+00:00,113854.32999999999,102413.72227272729,127519.55380824654,77307.89073720804,False,False
1758499200000,115183.9,115344.6,111469.2,112604.7,159461.568,1758585599999,18039188972.42700,3419373,74182.157,8390032354.47240,0,2025-09-22 00:00:00+00:00,113925.165,102482.62954545455,127616.73421077483,77348.52488013427,False,False
1758585600000,112604.7,113254.8,111405.1,111947.0,102258.264,1758671999999,11494032424.46550,2460994,51960.799,5841363219.91060,0,2025-09-23 00:00:00+00:00,113939.525,102548.125,127705.43305650883,77390.81694349117,False,False
1758672000000,111947.0,113895.8,110935.0,113254.0,105314.096,1758758399999,11879548716.19570,2384763,53413.185,6025971750.17650,0,2025-09-24 00:00:00+00:00,114068.255,102626.24772727273,127809.29623169728,77443.19922284817,False,False
1758758400000,113253.9,113462.1,108574.1,108934.5,178663.741,1758844799999,19825920968.74040,3988053,84186.240,9344320561.00550,0,2025-09-25 00:00:00+00:00,113984.23500000002,102686.20818181819,127866.23381653236,77506.18254710402,False,False
1758844800000,108934.6,110250.0,108566.0,109588.5,112277.659,1758931199999,12272701459.17910,2904945,56155.899,6138347628.89490,0,2025-09-26 00:00:00+00:00,113956.89499999999,102749.69227272728,127928.58131877283,77570.80322668172,False,False
1758931200000,109588.5,109700.0,109021.9,109577.3,35871.924,1759017599999,3923401762.55560,875737,17907.531,1958706422.63930,0,2025-09-27 00:00:00+00:00,113881.95999999999,102808.6890909091,127990.46898311615,77626.90919870205,False,False
1759017600000,109577.2,112300.0,109136.5,112119.6,77247.963,1759103999999,8521046102.08860,1607459,39820.944,4392696394.15820,0,2025-09-28 00:00:00+00:00,113887.30999999998,102871.71954545453,128076.97727365955,77666.46181724951,False,False
1759104000000,112119.7,114377.2,111501.0,114257.1,125405.709,1759190399999,14160916303.24030,2558792,63042.556,7119074227.58330,0,2025-09-29 00:00:00+00:00,114025.17,102954.125,128189.17630281173,77719.07369718827,False,False
1759190400000,114257.1,114800.0,112615.3,113988.8,119320.015,1759276799999,13560972134.97250,2649460,60328.767,6856314456.88510,0,2025-09-30 00:00:00+00:00,114029.76999999999,103033.60454545454,128297.01356958834,77770.19552132074,False,False
1759276800000,113988.7,118631.8,113899.4,118552.4,172989.429,1759363199999,20130425143.68280,3495797,91389.650,10636695052.05990,0,2025-10-01 00:00:00+00:00,114186.04000000001,103135.12272727273,128467.57035187559,77802.67510266986,False,False
1759363200000,118552.0,120999.0,118226.4,120481.3,145456.938,1759449599999,17369682490.30870,3287990,75869.802,9060382748.58580,0,2025-10-02 00:00:00+00:00,114411.18500000001,103266.79000000001,128657.3203248637,77876.25967513632,False,False
1759449600000,120481.3,123900.0,119200.0,122182.7,167880.262,1759535999999,20406510432.57450,3823032,86342.249,10498463327.60890,0,2025-10-03 00:00:00+00:00,114727.18500000001,103419.2609090909,128859.41334323472,77979.10847494708,False,False
1759536000000,122182.6,122781.1,121432.0,122343.2,70479.21,1759622399999,8601963052.16530,1615003,34475.239,4208195407.63040,0,2025-10-04 00:00:00+00:00,115083.845,103592.60045454545,129026.48138581586,78158.71952327504,False,False
1759622400000,122343.2,125877.3,122088.1,123426.7,162571.0,1759708799999,20109937991.37640,3659205,83698.584,10355400613.06740,0,2025-10-05 00:00:00+00:00,115490.15,103768.77590909092,129212.81537211809,78324.73644606376,False,False
1759708800000,123426.7,126208.5,123018.5,124628.5,140201.329,1759795199999,17465215135.00390,3633703,69333.392,8639085715.03750,0,2025-10-06 00:00:00+00:00,115884.21,103952.0890909091,129413.51781265001,78490.66036916818,False,False
1759795200000,124628.6,125098.0,120516.0,121286.5,181899.347,1759881599999,22319390759.21490,4202005,86256.749,10587449140.45240,0,2025-10-07 00:00:00+00:00,116128.41,104112.44727272728,129564.17086068197,78660.72368477259,False,False
1759881600000,121286.6,124170.6,121005.3,123237.5,127099.786,1759967999999,15572092969.25540,3545539,66136.453,8102821498.20900,0,2025-10-08 00:00:00+00:00,116439.43000000001,104244.33227272728,129790.22636117601,78698.43818427854,False,False
1759968000000,123237.4,123740.1,119572.8,121579.3,163596.38,1760054399999,19890276384.59020,3938201,76306.798,9277968956.93740,0,2025-10-09 00:00:00+00:00,116739.92,104405.18045454545,129940.0217399622,78870.3391691287,False,False
1760054400000,121579.4,122497.0,101516.5,112714.9,391963.632,1760140799999,45076825982.40170,8976844,181714.840,20904806013.97560,0,2025-10-10 00:00:00+00:00,116594.42,104520.94863636364,129974.3672688067,79067.53000392058,False,False
1760140800000,112715.0,113300.1,109501.0,110579.1,163671.59,1760227199999,18268163074.13440,4650728,73785.149,8236139351.94470,0,2025-10-11 00:00:00+00:00,116364.18000000001,104611.91681818181,130008.17690633086,79215.65673003276,False,False
1760227200000,110579.1,115730.3,109509.3,114894.4,217928.037,1760313599999,24571794294.01690,5262712,108538.204,12235618148.23850,0,2025-10-12 00:00:00+00:00,116478.665,104725.58318181819,130081.03405376723,79370.13230986915,False,False
1760313600000,114894.5,115912.0,113600.5,115111.9,195996.783,1760399999999,22509504374.60670,4656609,95694.249,10990429088.48730,0,2025-10-13 00:00:00+00:00,116636.91,104854.48363636363,130131.37718288641,79577.59008984084,False,False
1760400000000,115112.0,115360.2,109802.0,112983.8,259244.496,1760486399999,29101159307.86630,5960214,125148.573,14046611774.70670,0,2025-10-14 00:00:00+00:00,116623.4,104976.29772727273,130150.21444511646,79802.381009429,False,False
1760486400000,112983.9,113576.1,110096.9,110699.0,131777.09,1760572799999,14722103584.38900,4671881,64776.533,7236639640.38540,0,2025-10-15 00:00:00+00:00,116711.625,105112.70772727272,130083.12937314635,80142.28608139908,False,False
1760572800000,110699.1,111960.0,107350.0,108129.4,193544.785,1760659199999,21245415629.67210,6043222,93640.906,10281726978.35180,0,2025-10-16 00:00:00+00:00,116638.67,105247.07863636363,129961.52186715924,80532.63540556801,False,False
1760659200000,108129.4,109199.8,103470.0,106378.6,242789.692,1760745599999,25744733284.11270,6936137,119199.822,12639240551.22690,0,2025-10-17 00:00:00+00:00,116478.73500000002,105353.81772727272,129883.35719019313,80824.27826435231,False,False
1760745600000,106378.5,107452.6,106270.0,107117.5,68509.903,1760831999999,7319254840.61800,2088885,32310.238,3452403390.31120,0,2025-10-18 00:00:00+00:00,116228.63,105460.53045454546,129814.9411675703,81106.11974152061,False,False
1760832000000,107117.5,109399.9,106055.8,108586.2,113473.72,1760918399999,12227415542.33710,3182090,57315.999,6175714778.14570,0,2025-10-19 00:00:00+00:00,115945.085,105585.53409090909,129719.53040326212,81451.53777855606,False,False
1760918400000,108586.2,111650.0,107377.2,110469.9,139646.949,1761004799999,15403876134.72180,4408575,68490.715,7554196161.50170,0,2025-10-20 00:00:00+00:00,115769.14000000001,105706.12545454546,129670.81831539616,81741.43259369476,False,False
1761004800000,110469.9,113940.0,107400.0,108253.7,241127.426,1761091199999,26588100130.46520,6899664,118319.639,13041681888.79290,0,2025-10-21 00:00:00+00:00,115254.20499999999,105814.99272727274,129606.75689941313,82023.22855513234,False,False
